title,release_date,genre,director
August,2011-04-01,Drama,
Mía,2011-01-01,Drama,
Silja - nuorena nukkunut,1956-01-01,Drama,
Watermarks,2004-12-10,History,
Heart of a Lion,2013-10-18,Drama,
Rosas Höllenfahrt,2009-10-31,Documentary,
Kimjongilia,2009-01-01,Documentary,
Backwoods,2008-01-03,Horror,
Bait Shop,2008-09-02,Comedy,
Barrio Tales,2012-01-12,Horror,
The Day of the Crows,2012-10-23,Animation,
Space Amoeba,1970-08-01,Science Fiction,
Varan the Unbelievable,1962-12-07,Horror,
Bridegroom,2013-04-23,Documentary,
29 Palms,2002-07-29,Comedy,
Alien Space Avenger,1989-08-01,Science Fiction,
Miracle Run,2003-10-06,Drama,
Spinning Plates,2013-10-25,Documentary,
All Is Lost,2013-10-18,Action,
Pillow of Death,1945-12-14,Mystery,
Rebirth of Mothra II,1997-12-13,Science Fiction,
Rebirth of Mothra III,1998-12-12,Action,
Arthur Newman,2012-09-07,Drama,
Inherit the Wind,1999-05-29,Drama,
A Little Help,2010-07-22,Comedy,
Assault on a Queen,1966-06-15,Adventure,
Bad Medicine,1985-11-22,Comedy,
Running Wild,1995-01-01,Adventure,
The Borrower,1991-01-01,Science Fiction,
Boulevard,1994-12-28,Action,
Man On a Mission: Richard Garriott's Road to the Stars,2010-03-14,Documentary,
The Substance: Albert Hofmann's LSD,2011-11-17,Documentary,
Bartok the Magnificent,1999-11-15,Animation,
Ender's Game,2013-10-23,Science Fiction,
Maniac,1963-10-30,Comedy,
Breaking Point,1994-01-01,,
The Blue Umbrella,2013-02-12,Animation,
Hello! How Are You?,2010-05-28,Comedy,
TWA Flight 800,2013-07-17,Documentary,
Toy Story of Terror!,2013-10-15,Animation,
Folies Bergère de Paris,1935-02-22,Comedy,
The Thrill of Brazil,1946-09-06,Music,
The Last Days on Mars,2013-08-11,Science Fiction,
The Escape Artist,1982-05-04,Drama,
Four Days in July,1985-01-28,,
Death By China,2012-08-17,Documentary,
The Verdict,2013-10-09,Crime,
Wind with the Gone,1998-11-12,,
Conversations with My Gardener,2007-06-06,Comedy,
Bad Grandpa,2013-10-22,Comedy,
Race,2008-03-20,Drama,
Freaky Deaky,2012-04-22,Comedy,
Thor: The Dark World,2013-10-29,Action,
The Great Texas Dynamite Chase,1976-07-01,Action,
Fragment of Fear,1970-01-01,Mystery,
Shock and Awe: The Story of Electricity,2011-10-06,Documentary,
Tortured,2008-09-10,Crime,
Disfigured,2008-07-29,Drama,
Godzilla: Tokyo S.O.S.,2003-12-13,Science Fiction,
Dallas Buyers Club,2013-09-07,Drama,
Gambit,2012-11-07,Comedy,
Masquerade,2012-09-12,Drama,
Marc Maron: Thinky Pain,2013-10-07,Comedy,
Such Hawks Such Hounds,2008-01-01,Documentary,
Lessons of a Dream,2011-02-24,Drama,
Clash,2009-12-09,Action,
Beatdown,2010-08-31,Adventure,
You May Not Kiss the Bride,2011-04-03,Action,
Bad Chicken,,,
The Selfish Giant,2013-05-16,Drama,
Changing Sides,2008-01-07,Comedy,
London: The Modern Babylon,2012-08-03,,
The Discreet,1990-11-21,Romance,
Bekas,2012-11-09,Drama,
A Touch of Sin,2013-10-04,Drama,
More Than Honey,2012-08-10,Documentary,
The Man Who Captured Eichmann,1996-11-08,TV Movie,
Les patriotes,1994-06-01,Drama,
Looking for Lenny,2011-01-01,Documentary,
Beau Brummel,1924-03-30,Drama,
Red Garters,1954-02-09,Western,
Les Formidables,2006-06-22,Crime,
How I Live Now,2013-09-10,Drama,
Girl Most Likely,2012-09-07,Comedy,
Hours,2013-11-29,Drama,
Free the Mind,2013-05-03,Documentary,
Pieta,2012-09-05,Drama,
Stuck,2013-02-23,,
Errors of the Human Body,2012-09-23,Science Fiction,
Root of All Evil?,2006-01-09,Documentary,
What if...,2010-08-20,Drama,
Aziz Ansari: Buried Alive,2013-11-01,Comedy,
Aziz Ansari: Dangerously Delicious,2012-03-20,Comedy,
24 Hours On Craigslist,2006-01-19,Documentary,
Clandestine Childhood,2011-09-20,Drama,
Libre échange,2010-12-22,Comedy,
Free Radicals: A History of Experimental Film,2012-08-03,Documentary,
The Reformer and the Redhead,1950-05-05,Comedy,
Great Expectations,2012-11-30,Drama,
Somm,2013-06-21,Documentary,
Amber Alert,2012-11-02,Horror,
Free Birds,2013-10-30,Animation,
Godzilla Against MechaGodzilla,2002-11-02,Action,
Latitude Zero,1969-07-26,Science Fiction,
Little Ninjas,1990-08-17,Action,
Boy Wonder,2010-08-11,Action,
The Day Lincoln Was Shot,1998-04-12,Drama,
Beautiful Dreamer: Brian Wilson and the Story of Smile,2004-10-05,,
Because You're Mine,1952-10-01,Comedy,
Bed & Breakfast,2010-12-10,Comedy,
The Crew,1994-10-01,Horror,
Breathing Fire,1991-09-25,Action,
Bailey's Billion$,2005-08-05,Family,
The Castle of the Living Dead,1964-08-05,Horror,
The Sword and the Dragon,1956-09-16,Adventure,
The Day the Earth Froze,1959-10-15,Adventure,
Silmido,2003-12-24,Action,
Snowball Effect: The Story of Clerks,2004-09-07,Documentary,
In Tranzit,2007-05-16,Drama,
The Breed,2001-07-19,Horror,
Beautiful Wave,2011-01-01,Drama,
Things We Do for Love,2013-02-01,,
Last Vegas,2013-10-31,Comedy,
Muscle Shoals,2013-09-27,Documentary,
So Young,2013-04-25,Romance,
The Third Sex,1957-08-29,Drama,
The Starving Games,2013-11-07,Comedy,
W.C. Fields and Me,1976-03-31,Drama,
Outside the Law,2002-06-25,Action,
Apache Territory,1958-09-01,Action,
Holes in My Shoes,,,
Apartment 4E,2012-12-01,Mystery,
The Super Cops,1974-03-20,Drama,
Panic Button,2011-08-27,Horror,
Painless,2012-10-09,Horror,
The Lords of Discipline,1983-02-18,Drama,
Won Ton Ton: the Dog Who Saved Hollywood,1976-07-26,Comedy,
The Fairy King Of Ar,1998-01-01,Fantasy,
A Bucket of Blood,1995-09-12,Thriller,
Buttcrack,1998-12-08,Horror,
Card Subject To Change,2010-02-13,Documentary,
Stephen Tobolowsky's Birthday Party,2006-05-30,Documentary,
The Wonderful Crook,1974-01-01,Comedy,
Cash Truck,2004-04-14,Action,
The Conclave,2006-10-07,Drama,
Making the Boys,2011-03-11,Documentary,
Seduced and Abandoned,2013-05-20,Documentary,
Absent,2011-06-19,Drama,
The Institute,2013-10-11,Documentary,
Dreamworld,2012-03-09,Comedy,
Chasing Ghosts: Beyond the Arcade,2007-01-19,Documentary,
Chillers,1987-01-01,Horror,
For Those in Peril,2013-05-18,Drama,
Philomena,2013-11-01,Drama,
The Book Thief,2013-11-08,Drama,
The Best Man Holiday,2013-11-15,Comedy,
Chicago Overcoat,2009-10-10,Action,
Ida,2013-10-25,Drama,
Metal Brothers,2012-12-24,Comedy,
The Tiger from Tjampa,1953-01-01,Drama,
The Curse of the Oily Maniac,1956-01-01,Action,
Parineeta,1953-01-01,Family,
Aningaaq,2013-10-19,Drama,
The White Shadow,1924-05-05,,
One Piece Film Strong World,2009-12-12,Animation,
One Piece Film Z,2012-12-15,Action,
Caught Inside,2010-03-10,Thriller,
All Mine to Give,1957-11-13,Drama,
China O'Brien,1990-01-01,Action,
The Hunger Games: Catching Fire,2013-11-15,Adventure,
The Hobbit: The Desolation of Smaug,2013-12-11,Adventure,
47 Ronin,2013-12-06,Drama,
The Scarlet Letter,1973-01-01,Drama,
The Girl from Nowhere,2013-02-06,Drama,
The Magic Voyage of Sinbad,1952-12-20,Action,
The Chameleon,2010-08-23,Drama,
The Enemies of Reason,2007-01-01,Documentary,
World War II: When Lions Roared,1994-04-18,Drama,
The Dyatlov Pass Incident,2013-02-27,Thriller,
"It's the Easter Beagle, Charlie Brown",1974-04-09,Animation,
Vali,2009-01-09,,
On Modern Servitude,2009-01-01,,
WikiRebels: The Documentary,2010-12-12,Documentary,
Beyond the Time Barrier,1960-09-08,Romance,
The Flight That Disappeared,1961-09-01,Science Fiction,
The Crystal Ball,1943-01-22,Comedy,
Flesh,1968-12-16,Drama,
Delivery Man,2013-10-10,Comedy,
Charlie Countryman,2013-02-09,Action,
Back to the USSR,1992-03-27,Drama,
Bad Biology,2008-02-08,Fantasy,
Krrish 3,2013-11-01,Action,
Once Upon a Scoundrel,1974-08-15,,
Emotion,1966-01-01,Drama,
Tales from the Organ Trade,2013-09-20,Documentary,
Bells of Capistrano,1942-09-15,Western,
Berlin Express,1948-05-01,Thriller,
Hansel & Gretel,2013-01-07,Horror,
The Happy Poet,2010-09-17,Comedy,
Red Flag,2012-07-15,Comedy,
Breakout,2013-09-04,Action,
Creatures from the Abyss,1994-01-01,Science Fiction,
Shatter Dead,1994-12-13,Horror,
The Club,1994-06-01,Horror,
The Christmas Party,1996-11-29,Comedy,
End of the World,1977-08-01,Fantasy,
My Louisiana Sky,2001-05-12,Drama,
Z.P.G.,1972-05-25,Drama,
Twice Born,2012-09-13,Drama,
A Raisin in the Sun,2008-02-25,Drama,
The Story of Esther Costello,1957-11-06,Drama,
A Somewhat Gentle Man,2010-03-19,Comedy,
Guilty of Romance,2011-09-30,Drama,
Club Fed,1990-08-09,Comedy,
Crackerjack,1994-08-18,Action,
Crime Wave,1985-04-12,Adventure,
The Wankers,2011-07-06,Documentary,
Zero 2,2010-01-18,Comedy,
José & Pilar,2010-10-18,Documentary,
Crocodile,2000-12-26,Horror,
The Mating of Millie,1948-03-08,Comedy,
Frozen,2013-11-27,Animation,
Ninja 1,1962-12-01,Action,
The Ferryman,2007-01-01,Fantasy,
The Strange Case of Dr. Jekyll and Miss Osbourne,1981-06-17,Horror,
Disco Godfather,1979-09-04,Action,
Crisis: Behind a Presidential Commitment,1963-10-21,Documentary,
The China Lake Murders,1990-01-31,,
9 Month Stretch,2013-10-16,Comedy,
The Galaxy Invader,1985-04-01,Horror,
Marfa Girl,2012-11-20,Drama,
Bad Girls Go to Hell,1965-12-24,Drama,
ThanksKilling,2009-11-17,Comedy,
ThanksKilling 3,2012-11-13,Comedy,
The Stranger,1967-10-14,Drama,
Circles,2013-01-17,War,
Mr. Morgan's Last Love,2013-08-22,Drama,
Les Misérables: 10th Anniversary Concert at the Royal Albert Hall,1995-10-14,Music,
Shed No Tears,2013-07-19,Drama,
Trigun: Badlands Rumble,2010-04-02,Science Fiction,
Inside Llewyn Davis,2013-10-06,Drama,
The Wind Journeys,2009-04-30,Drama,
The Wolf of Wall Street,2013-12-25,Crime,
Homefront,2013-11-27,Action,
Cut and Run,1985-08-08,Adventure,
Cyberjack,1995-09-19,Action,
Love Life,2007-11-08,Drama,
Marriage Material,2012-01-12,,
Shadows of a Hot Summer,1978-09-13,Thriller,
scissere,1982-09-13,Drama,
7th Cavalry,1956-01-01,Western,
A Deeper Shade of Blue,2011-06-15,Documentary,
Amen,2011-12-08,Drama,
Mandela: Long Walk to Freedom,2013-12-06,Drama,
August: Osage County,2013-12-26,Comedy,
Gamera,1965-11-27,Action,
The Tale of Zatôichi,1962-04-18,Adventure,
The Tale of Zatôichi Continues,1962-10-12,Adventure,
Angels Sing,2013-10-19,TV Movie,
Amen,2013-03-21,Fantasy,
Violette,2013-09-06,Drama,
Concrete Night,2013-11-01,Drama,
Days of Darkness,2007-01-01,Action,
Breaking the Girls,2013-07-26,Crime,
Grave Encounters 2,2012-10-12,Horror,
Evangelion: 3.0 You Can (Not) Redo,2012-11-17,Animation,
My Piece of the Pie,2011-03-16,Drama,
Fright Night 2: New Blood,2013-08-31,Horror,
Sweetwater,2013-01-24,Western,
All Is Bright,2013-09-10,Comedy,
True Heart,1999-02-17,Action,
Tim's Vermeer,2013-12-06,Documentary,
After Tiller,2013-09-20,Documentary,
Lovecraft: Fear of the Unknown,2008-07-24,Documentary,
Stuck Between Stations,2011-11-04,Drama,
Gamera vs. Barugon,1966-04-17,Fantasy,
Legally Blondes,2009-04-28,Comedy,
American Hustle,2013-12-12,Drama,
The Secret Life of Walter Mitty,2013-12-18,Adventure,
Her,2013-12-18,Romance,
New Tale of Zatôichi,1963-03-15,Action,
Zatôichi the Fugitive,1963-08-10,Drama,
RoboGeisha,2009-10-03,Action,
The War Between Men and Women,1972-06-01,Comedy,
The April Fools,1969-05-23,Drama,
Captain Abu Raed,2007-12-11,Drama,
The Man You Had in Mind,2008-06-10,,
The Cosmonaut,2013-05-17,Drama,
Young & Beautiful,2013-08-20,Drama,
The Life & Adventures of Santa Claus,1985-12-17,Animation,
Carmina or Blow Up,2012-07-05,Drama,
Malta G.C.,1942-01-01,Documentary,
Cousin Angelica,1974-04-28,Drama,
Baboona,1935-01-19,,
Stakeout on Dope Street,1958-05-03,Crime,
Zatôichi Goes to the Fire Festival,1970-08-12,Adventure,
The Challenger,2013-03-18,Thriller,
Linsanity,2013-10-04,Documentary,
Some Girl(s),2013-06-28,Comedy,
Música Campesina,2011-08-27,,
A Christmas Carol,1977-12-24,Family,
Open Grave,2013-08-13,Horror,
The Dead Next Door,1989-11-10,Horror,
Ski Patrol,1940-05-09,War,
Sel8nne,2013-09-26,Documentary,
The Fourth Angel,2001-08-15,Action,
Route 666,2001-10-30,Horror,
The Rat Race,1960-07-10,Comedy,
Six by Sondheim,2013-12-09,Documentary,
Straight From the Heart,2003-02-09,TV Movie,
The Punk Singer,2013-11-29,Documentary,
The Dead Pit,1989-01-01,Horror,
Dead Set,2008-10-27,Comedy,
Dead Silence,1997-09-22,,
Urusei Yatsura 2: Beautiful Dreamer,1984-02-11,Animation,
I-See-You.Com,2006-03-08,Comedy,
Pianomania,2009-01-28,Documentary,
Lone Survivor,2013-12-24,Action,
A Christmas Carol,1997-01-01,Animation,
A Christmas Carol,2004-11-28,Drama,
A Fairly Odd Christmas,2012-11-23,Family,
Zatôichi on the Road,1963-11-30,Action,
Geography Club,2013-05-22,Comedy,
Measuring the World,2012-10-24,Drama,
Three Stars,2012-07-13,Foreign,
The Noose,1958-01-19,Drama,
Sambizanga,1973-04-25,Drama,
My Amityville Horror,2013-03-14,Documentary,
Dead Weekend,1995-10-08,Comedy,
"A Fairly Odd Movie: Grow Up, Timmy Turner!",2011-07-09,Family,
The Armstrong Lie,2013-09-08,Documentary,
Blood Relatives,1978-02-01,Crime,
An Adventure in Space and Time,2013-11-21,Drama,
Mountaintop Motel Massacre,1986-03-31,Horror,
Star Trek: Of Gods And Men,2007-12-22,Action,
Saving Mr. Banks,2013-11-16,Comedy,
Kinbaku,2010-03-12,Documentary,
Cockpit,2012-07-13,Comedy,
Last Winter,2012-02-29,Thriller,
The Frozen Dead,1966-10-15,Science Fiction,
Captive Women,1952-10-10,Science Fiction,
The Boy and the Pirates,1960-04-13,Fantasy,
Zatôichi and the Chest of Gold,1964-03-14,Action,
Zatôichi's Flashing Sword,1964-07-11,Action,
Ways to Live Forever,2010-10-29,Drama,
La rabbia,1963-01-01,,
Visions of Europe,2004-05-01,Comedy,
Ghetto,2006-06-08,History,
The Battle of Amfar,2013-01-18,Documentary,
Blue Sunshine,1978-03-20,Horror,
Adventures of Zatôichi,1964-12-30,Adventure,
Kean,1924-02-14,Drama,
Is the Man Who Is Tall Happy?,2013-11-22,Documentary,
Outbound,2010-08-14,Drama,
All Things To All Men,2013-04-05,Thriller,
The Outsider,2014-03-11,Action,
The Truth About Emanuel,2013-04-26,Drama,
Midnight Clear,2006-01-01,Drama,
The Nutcracker: The Untold Story,2010-11-24,Fantasy,
The Wipers Times,2013-09-11,TV Movie,
A Storm in Summer,2000-02-27,,
Deadbolt,1992-10-16,Thriller,
The Deadly Spawn,1983-04-22,Drama,
Deadly Surveillance,1991-09-06,TV Movie,
Those Daring Young Men in Their Jaunty Jalopies,1969-04-28,Adventure,
The Rhythm of Crime,1981-01-01,Horror,
Cowboy del Amor,2005-03-12,Documentary,
Gregoire Moulin vs. Humanity,2001-09-26,Comedy,
The Demoniacs,1974-12-05,Horror,
The Night of the Hunted,1980-08-20,Horror,
Zatôichi and the Doomed Man,1965-09-18,Adventure,
Zatôichi's Revenge,1965-04-03,Action,
I Heart Monster Movies,2012-10-12,Horror,
Deadly Voyage,1996-06-14,Drama,
Decampitated,1998-01-01,,
The Deep,2012-09-07,Drama,
Lips of Blood,1975-05-17,Horror,
The Grotesque,1995-09-09,Comedy,
American Raspberry,1977-09-12,Comedy,
The Last Ride,2012-06-22,Drama,
Hava Nagila: The Movie,2012-07-19,,
The Bling Ring,2011-09-26,Drama,
A Perfect Man,2013-11-01,Drama,
Gurren Lagann The Movie: Childhood's End,2008-09-06,Action,
Gurren Lagann The Movie: The Lights in the Sky Are Stars,2009-04-25,Action,
Una noche,2012-02-15,Drama,
Lady and the Tramp II: Scamp's Adventure,2001-02-18,Romance,
Oldboy,2013-11-14,Drama,
World War Three,1998-12-01,War,
Aquí Entre Nos,2012-03-30,Comedy,
The Shiver of the Vampires,1971-04-21,Horror,
The Sucker,1965-03-24,Comedy,
Dampfnudelblues,2013-07-31,Comedy,
Zatôichi and the Chess Expert,1965-12-24,Action,
Zatôichi's Vengeance,1966-05-03,Action,
Zatôichi's Pilgrimage,1966-08-13,Drama,
Anchorman 2: The Legend Continues,2013-12-18,Comedy,
Escape Fire: The Fight to Rescue American Healthcare,2012-10-05,Documentary,
Killing Lincoln,2013-02-16,Documentary,
Good Ol’ Freda,2013-09-06,Documentary,
Call Me Crazy: A Five Film,2013-04-20,Drama,
What If...,2012-11-28,,
Unbeatable,2013-08-15,Drama,
Sarah Silverman: We Are Miracles,2013-11-23,Comedy,
Footprints,1975-02-01,Drama,
Happy Family,2010-03-26,Comedy,
Mike Tyson: Undisputed Truth,2013-12-01,Comedy,
Moms Mabley: I Got Somethin' to Tell You,2013-04-22,,
"Take Her, She's Mine",1963-01-01,Comedy,
Christmas Eve,1947-10-31,Comedy,
Massacre Mafia Style,1974-12-19,Action,
Snowpiercer,2013-08-01,Action,
Only Old Men Are Going to Battle,1973-06-06,War,
Guest from the Future,1984-06-06,Family,
"Kidnapping, Caucasian Style",1967-04-03,Adventure,
Phase 7,2011-07-13,Thriller,
Hellbound?,2012-09-21,Horror,
Demon Wind,1990-07-05,Horror,
Demons 2,1986-10-09,Horror,
The Phynx,1970-03-06,Comedy,
Haunter,2013-10-25,Horror,
The Big Fix,1978-01-01,Comedy,
Wrong Cops,2013-12-18,Comedy,
A Muppets Christmas: Letters to Santa,2008-12-17,Adventure,
The Diamond Fleece,1992-09-17,,
Diving In,1990-09-21,Comedy,
The Dog Who Stopped the War,1984-10-03,Adventure,
Ninja: Shadow of a Tear,2013-12-27,Action,
Always,1985-10-04,,
The Sandlot: Heading Home,2007-05-01,Adventure,
Odds and Evens,1978-10-28,Action,
Free Style,2008-12-24,Drama,
James Gandolfini: Tribute To A Friend,2013-12-22,Documentary,
The Precocious and Brief Life of Sabina Rivas,2012-11-09,Drama,
$ellebrity,2013-01-11,Documentary,
Macabre,1980-04-17,Horror,
Punk's Dead: SLC Punk 2,2016-02-11,Comedy,
Freedom Strikes a Blow,1973-12-31,Action,
Desire,2011-09-14,Drama,
In the Fog,2012-11-22,Drama,
As Cool as I Am,2013-06-21,Comedy,
False Trail,2011-09-15,Crime,
Why Did You Pick On Me?,1980-12-11,Comedy,
Ice Quake,2010-12-11,Thriller,
Snow Beast,2011-10-04,Drama,
Fireworks Wednesday,2006-02-08,Drama,
Fun Size,2012-10-25,Comedy,
Death of a Superhero,2011-05-04,Animation,
Einer wie Bruno,2012-04-12,,
A Princess for Christmas,2011-12-03,Comedy,
Fuck You Goethe,2013-11-07,Comedy,
Dagmamman,2013-09-11,TV Movie,
Hellyys,1972-02-17,Comedy,
Apnea,2010-11-06,Thriller,
Jo pour Jonathan,2011-03-18,Drama,
Sweet Evil,2010-05-12,Drama,
Gasht-e Ershad,2012-10-01,Drama,
هیچ کجا هیچ کس,2013-08-07,Mystery,
Miffo,2003-07-31,Comedy,
Bad Fucking,2013-12-20,Comedy,
Open Up to Me,2013-03-08,Drama,
Fly Away,2012-07-12,Drama,
Life Is No Piece of Cake,2012-11-21,Comedy,
Mostly Sunny,2012-09-06,Comedy,
Alien Cargo,1999-01-28,Science Fiction,
WNUF Halloween Special,2013-10-23,Horror,
White Reindeer,2013-12-06,Comedy,
Red Obsession,2013-02-13,Documentary,
Snow on the Pines,2013-04-09,Drama,
The Wooden Bridge,2012-02-04,Romance,
Bitterly!,2013-10-24,Comedy,
The Physician,2013-12-25,Adventure,
High School,2010-06-03,Comedy,
Carmen,1918-12-20,Drama,
Timescape,1992-05-09,Mystery,
Springsteen & I,2013-07-22,Documentary,
I Will Fight No More Forever,1975-04-13,Action,
The Glass Agency,1999-01-02,,
Here Without Me,2011-03-12,Drama,
The Dinner,2013-11-07,Drama,
Wonderful and Loved by All,2007-08-24,Comedy,
Borgman,2013-05-13,Thriller,
Solo,2013-08-29,Thriller,
The Lost Thing,2010-01-01,Animation,
Buddy goes West,1981-05-14,Comedy,
Mio in the Land of Faraway,1987-07-01,Adventure,
Zatôichi's Cane Sword,1967-01-03,Adventure,
Wild Women,1970-10-20,Western,
The Guide,2011-04-27,Comedy,
Our Little Differences,2012-07-02,,
Boy Eating the Bird's Food,2012-09-27,Drama,
The Laughing Woman,1969-08-24,Romance,
Vendetta,2013-11-08,Action,
The Human Race,2013-04-10,Horror,
Escape to Athena,1979-06-06,Adventure,
Smiley,2012-10-12,Horror,
Sometime in August,2009-02-08,Drama,
Dot.Kill,2005-03-08,Thriller,
Not Bad for a Human,1977-10-07,,
The Hijack That Went South,2013-01-17,Action,
I Am Not a Hipster,2013-01-09,Drama,
Rio Sex Comedy,2010-09-16,Comedy,
I Am Divine,2013-03-09,Documentary,
Grudge Match,2013-12-25,Comedy,
Justin Bieber's Believe,2013-12-19,Documentary,
Dhoom,2004-08-27,Action,
Marvin Hamlisch: What He Did For Love,2013-10-12,Documentary,
Meat the Truth,2008-10-03,Documentary,
The Citizen,2012-09-19,,
Highlander: The Search for Vengeance,2007-06-05,Action,
The Botany of Desire,2009-10-28,Documentary,
By the People: The Election of Barack Obama,2009-11-09,Documentary,
Opera Australia: The Pirates of Penzance,2006-01-01,,
American Addict,2012-05-18,,
Bounty Killer,2013-09-05,Action,
Lomalla,2000-12-01,Thriller,
The Class of '92,2013-12-01,Documentary,
12 Rounds 2: Reloaded,2013-06-01,Action,
Nude For Satan,1974-10-30,Horror,
White Fang,1973-12-21,Western,
Soundbreaker,2012-03-20,Documentary,
A.C.O.D.,2013-10-03,Comedy,
Ass Backwards,2013-01-21,Adventure,
Dollman vs. Demonic Toys,1993-10-13,Horror,
Dream Machine,1991-11-13,Action,
The Dungeon Masters,2008-09-08,Documentary,
Paranormal Activity: The Marked Ones,2014-01-01,Horror,
Only Lovers Left Alive,2013-12-12,Drama,
Inn of Evil,1971-09-11,Crime,
Gold,1934-03-29,Crime,
Swing,2002-03-20,Comedy,
B.T.K.,2008-07-08,Drama,
Short Eyes,1977-09-28,Drama,
MacGyver: Trail to Doomsday,1994-11-24,Action,
Vegucated,2011-01-09,Documentary,
Serrallonga,2008-01-01,,
Garm Hava,1973-01-05,Drama,
Ditirambo,1969-03-12,Mystery,
Earth vs. the Spider,2001-10-07,Horror,
Easy Wheels,1989-01-01,Action,
Cold Trail,2006-12-29,Drama,
Glasblåsarns barn,1998-02-27,,
Restless Souls,2005-05-27,Horror,
Goliath Awaits,1981-11-11,Adventure,
Hit Man,1972-12-20,Action,
The Valley of Gwangi,1969-07-24,Action,
Voyage to the Prehistoric Planet,1965-08-01,Science Fiction,
Greenwich Village: Music That Defined a Generation,2013-01-18,,
The Lunchbox,2013-09-19,Drama,
Kauwboy,2012-04-18,Family,
Liberty,1929-01-26,Comedy,
The Killings at Outpost Zeta,1980-02-25,Horror,
Expect No Mercy,1995-02-28,Action,
The Expert,1995-08-15,,
The Secret,2007-10-10,Drama,
Stars,1959-03-23,Drama,
Lost in Siberia,2012-05-10,Comedy,
I Know That Voice,2013-11-06,Documentary,
The Fallen,2004-01-01,Drama,
Fade to Black,1980-10-14,Drama,
Yves Saint Laurent,2014-01-08,Drama,
Trader Games,2010-09-01,Drama,
Summer Things,2002-08-30,Drama,
Bad Karma,2002-07-23,Thriller,
Bad Karma,2012-09-12,Thriller,
Bandidos,1991-08-09,Adventure,
The Invisible Woman,2013-12-25,Drama,
Hunting Elephants,2013-07-03,Comedy,
Dragon Ball Z: Battle of Gods,2013-03-30,Animation,
The Snitch Cartel,2012-11-11,Drama,
Underdogs,2013-07-18,Animation,
Dirty Movie,2011-02-15,Comedy,
Freezer,2014-01-17,Action,
Modern Boy,2008-10-02,Drama,
Caught,1987-11-09,Action,
The Texican,1966-11-01,Action,
The Gilded Lily,1935-01-25,Comedy,
The Bride Comes Home,1935-12-25,Comedy,
Family Honeymoon,1948-12-06,Comedy,
"Like Father, Like Son",2013-09-28,Drama,
The Railway Man,2013-12-26,Drama,
Sand Sharks,2011-12-20,Comedy,
Massacre Canyon,1954-05-01,Western,
Diana,2013-09-19,Drama,
The We and the I,2012-09-12,Drama,
We Are What We Are,2013-09-27,Drama,
Dragon Ball Z: Lord Slug,1991-03-19,Action,
J.J. Cale - To Tulsa And Back (On tour with J.J. Cale),2006-06-13,Documentary,
Forsaking All Others,1934-12-23,Comedy,
The Flesh Merchant,1956-05-18,Drama,
Child Bride,1938-03-02,Drama,
Magic Town,1947-10-07,Comedy,
Grand Isle,1991-08-23,,
River Queen,2005-09-12,Adventure,
Resistance,2011-11-25,War,
"Me, Myself and Mum",2013-11-20,Comedy,
Milius,2013-03-09,Documentary,
A Soldier's Plaything,1930-11-01,Comedy,
A Time for Killing,1967-08-01,Western,
Summer of '62,2007-08-08,Drama,
Close to Leo,2002-05-18,Drama,
The Geographer Drank His Globe Away,2013-07-26,Drama,
Pokémon Origins,2013-10-02,Animation,
Screwed in Tallinn,1999-04-22,Comedy,
Comrade Pedersen,2006-02-24,Drama,
Starz Inside: Fantastic Flesh,2008-10-07,Documentary,
Fast Food,1989-04-28,Comedy,
National Lampoon's Favorite Deadly Sins,1995-11-12,Comedy,
The Other Shore,2013-07-23,,
Chinese Puzzle,2013-12-04,Comedy,
1,2013-09-20,Thriller,
Waltz for Monica,2013-09-13,Music,
Dragon Ball: The Path to Power,1996-03-02,Action,
The Raven,2006-11-01,Horror,
The Hire: The Follow,2001-01-01,Action,
There's Only One Sun,2007-01-01,,
Honest Man: The Life of R. Budd Dwyer,2010-10-09,Documentary,
A Turtle’s Tale 2: Sammy’s Escape From Paradise,2012-08-15,Adventure,
Allotment Wives,1945-11-08,Drama,
Dragon Crusaders,2011-09-27,Fantasy,
M for Mother,2006-10-24,,
Rhino Season,2012-09-11,Drama,
The Lizard,2004-03-31,Action,
Lovers and Lollipops,1956-04-18,Romance,
Prata Palomares,1972-01-01,,
Creep Van,2012-03-09,Horror,
Cutie and the Boxer,2013-08-16,Documentary,
Rise of the Zombies,2012-10-27,Action,
At Berkeley,2013-11-08,Documentary,
Harvey,1996-10-19,Fantasy,
Travelling Salesman,2012-06-16,Drama,
Ride Along,2014-01-07,Action,
Penguin Pool Murder,1932-12-09,Comedy,
Breakaway,2011-09-30,Comedy,
Nukes in Space,1999-01-01,Documentary,
Jack Ryan: Shadow Recruit,2014-01-15,Action,
Divergent,2014-03-14,Adventure,
Hotel Chevalier,2007-09-03,Drama,
47 Ronin,1994-10-22,Action,
Starflight: The Plane That Couldn't Land,1983-02-27,Adventure,
Reasonable Doubt,2014-01-17,Crime,
Heavy Metal Parking Lot,1986-01-01,Documentary,
18 Years Old and Rising,2011-07-20,Comedy,
Saint Laurent,2014-09-23,Drama,
The Prize of Peril,1983-01-25,Action,
Cargo,2013-04-02,Fantasy,
The Road to Ruin,1934-05-14,Drama,
The Square,2013-06-07,Documentary,
HOUBA! On the Trail of the Marsupilami,2012-04-03,Adventure,
Fear,1990-07-15,Horror,
Fear No Evil,1981-01-19,Horror,
Devil's Due,2014-01-08,Horror,
